Year,Date,Marathon,Overall AQI Value,Main Pollutant,CO,Ozone,PM10,PM2.5,NO2
2025,10-12-2025,Chicago,42,PM2.5,NA,41,16,42,NA
2024,10-13-2024,Chicago,91,PM10,5,34,91,70,25
2023,10-8-2023,Chicago,43,PM2.5,3,27,16,43,25
2022,10-9-2022,Chicago,50,PM2.5,8,39,46,50,39
2021,10-10-2021,Chicago,72,PM2.5,6,46,43,72,28
2019,10-13-2019,Chicago,44,PM2.5,3,36,24,44,27
2018,10-7-2018,Chicago,48,PM2.5,3,21,10,48,8
2017,10-8-2017,Chicago,46,PM2.5,3,44,14,46,36
2016,10-9-2016,Chicago,67,PM2.5,5,37,24,67,27
2015,10-11-2015,Chicago,51,PM2.5,8,47,30,51,20
2014,10-12-2014,Chicago,53,PM2.5,9,40,14,53,38
2013,10-13-2013,Chicago,60,PM2.5,7,32,28,60,33
2012,10-7-2012,Chicago,51,PM2.5,7,32,16,51,39
2011,10-9-2011,Chicago,85,PM2.5,16,77,33,85,56
2010,10-10-2010,Chicago,87,PM2.5,16,87,41,87,66
2009,10-11-2009,Chicago,52,PM2.5,7,28,18,52,29
2008,10-12-2008,Chicago,75,PM2.5,19,71,31,75,54
2007,10-7-2007,Chicago,77,Ozone,14,77,36,73,54
2006,10-22-2006,Chicago,63,PM2.5,8,26,23,63,32
2005,10-9-2005,Chicago,49,PM2.5,8,35,16,49,38
2004,10-10-2004,Chicago,52,PM2.5,42,35,16,52,43
2003,10-12-2003,Chicago,61,PM2.5,18,35,32,61,45
2002,10-13-2002,Chicago,84,PM2.5,27,31,53,84,46
2001,10-7-2001,Chicago,65,PM2.5,39,37,26,65,44
2000,10-22-2000,Chicago,93,PM2.5,36,31,40,93,64
1999,10-24-1999,Chicago,76,PM2.5,16,31,41,76,47
1998,10-11-1998,Chicago,92,PM2.5,56,61,36,92,57
1997,10-19-1997,Chicago,66,PM2.5,39,38,44,66,52
1996,10-20-1996,Chicago,57,NO2,52,34,33,NA,57
2025,4-21-2025,Boston,45,Ozone,3,45,7,22,32
2024,4-15-2024,Boston,50,Ozone,6,50,19,37,27
2023,4-17-2023,Boston,45,PM2.5,5,38,18,45,28
2022,4-18-2022,Boston,37,Ozone,3,37,7,36,24
2021,10-11-2021,Boston,47,PM2.5,3,35,13,47,19
2019,4-15-2019,Boston,47,Ozone,3,47,5,29,35
2018,4-16-2018,Boston,46,PM2.5,2,43,6,46,21
2017,4-17-2017,Boston,52,PM2.5,3,46,6,52,18
2016,4-18-2016,Boston,55,PM2.5,5,54,19,55,40
2015,4-20-2015,Boston,43,PM2.5,2,42,9,43,25
2014,4-21-2014,Boston,74,Ozone,7,74,NA,54,34
2013,4-15-2013,Boston,41,Ozone,3,41,NA,38,27
2012,4-16-2012,Boston,100,Ozone,3,100,NA,73,31
2011,4-18-2011,Boston,53,PM2.5,5,47,8,53,20
2010,4-19-2010,Boston,40,Ozone,3,40,NA,39,29
2009,4-20-2009,Boston,47,Ozone,5,47,NA,45,36
2008,4-21-2008,Boston,56,PM2.5,7,49,NA,56,36
2007,4-16-2007,Boston,52,PM2.5,5,49,NA,52,25
2006,4-17-2006,Boston,39,Ozone,6,39,8,34,30
2005,4-18-2005,Boston,58,PM2.5,9,51,NA,58,39
2004,4-19-2004,Boston,100,Ozone,5,100,NA,85,57
2003,4-21-2003,Boston,71,Ozone,10,71,33,59,43
2002,4-15-2002,Boston,62,PM2.5,13,35,NA,62,38
2001,4-16-2001,Boston,57,PM2.5,9,50,NA,57,42
2000,4-17-2000,Boston,55,PM2.5,7,42,NA,55,30
1999,4-19-1999,Boston,53,NO2,14,48,NA,47,53
1998,4-20-1998,Boston,49,Ozone,17,49,NA,NA,41
1997,4-21-1997,Boston,57,NO2,15,44,NA,NA,57
1996,4-15-1996,Boston,69,PM10,13,41,69,NA,34
2025,11-2-2025,NYC,52,PM2.5,NA,35,NA,52,NA
2024,11-3-2024,NYC,41,NO2,8,35,NA,39,41
2023,11-5-2023,NYC,72,PM2.5,13,43,NA,72,46
2022,11-6-2022,NYC,53,PM2.5,9,31,NA,53,26
2021,11-7-2021,NYC,73,PM2.5,17,39,NA,73,42
2019,11-3-2019,NYC,52,PM2.5,7,31,NA,52,32
2018,11-4-2018,NYC,49,PM2.5,8,30,9,49,36
2017,11-5-2017,NYC,52,PM2.5,8,28,NA,52,27
2016,11-6-2016,NYC,43,PM2.5,7,33,NA,43,23
2015,11-1-2015,NYC,57,PM2.5,9,31,NA,57,28
2014,11-2-2014,NYC,35,Ozone,5,35,NA,26,11
2013,11-3-2013,NYC,38,PM2.5,6,31,NA,38,17
2011,11-6-2011,NYC,63,PM2.5,32,32,NA,63,49
2010,11-7-2010,NYC,44,PM2.5,7,31,NA,44,23
2009,11-1-2009,NYC,42,PM2.5,10,27,.,42,30
2008,11-2-2008,NYC,52,PM2.5,9,31,10,52,37
2007,11-4-2007,NYC,61,PM2.5,13,34,NA,61,40
2006,11-5-2006,NYC,70,PM2.5,18,29,NA,70,39
2005,11-6-2005,NYC,119,PM2.5,27,50,42,119,63
2004,11-7-2004,NYC,58,PM2.5,15,44,NA,58,48
2003,11-2-2003,NYC,86,PM2.5,24,37,NA,86,46
2002,11-3-2002,NYC,52,PM2.5,17,31,12,52,44
2001,11-4-2001,NYC,52,PM2.5,19,39,17,52,51
2000,11-5-2000,NYC,55,PM2.5,22,31,10,55,27
1999,11-7-1999,NYC,38,NO2,26,36,NA,29,38
1998,11-1-1998,NYC,33,NO2,28,31,22,NA,33
1997,11-2-1997,NYC,40,NO2,33,31,18,NA,40
1996,11-3-1996,NYC,36,NO2,34,27,19,NA,36