Year,Date,Marathon,High Temp,Low Temp,Day Average Temp,Precipitation, Average Dew Point,Max Wind Speed,Visibility,Sea Level Pressure
2025,10-12-2025,Chicago,68,51,59.92,0.00,48.92,12,10,29.39
2024,10-13-2024,Chicago,67,51,60.24,0.00,46.48,23,10,29.26
2023,10-8-2023,Chicago,55,45,50.08,0.00,35.96,13,10,29.36
2022,10-9-2022,Chicago,71,46,57.96,0.00,35.08,14,10,29.51
2021,10-10-2021,Chicago,83,72,75.50,0.00,60.71,18,10,29.13
2019,10-13-2019,Chicago,55,39,47.25,0.00,32.38,23,10,29.28
2018,10-7-2018,Chicago,63,57,60.46,0.19,56.97,13,10,29.54
2017,10-8-2017,Chicago,80,56,66.83,0.44,51.71,21,10,29.18
2016,10-9-2016,Chicago,63,50,57.17,0.00,44.67,14,10,29.69
2015,10-11-2015,Chicago,79,53,65.67,0.00,45.96,18,10,29.27
2014,10-12-2014,Chicago,64,45,55.48,0.00,43.76,18,10,29.48
2013,10-13-2013,Chicago,64,47,55.70,0.00,39.13,9,10,29.73
2012,10-7-2012,Chicago,50,39,44.91,0.00,23.74,14,10,29.52
2011,10-9-2011,Chicago,79,57,68.04,0.00,50.00,12,10,29.67
2010,10-10-2010,Chicago,83,59,71.57,0.00,49.96,12,10,29.29
2009,10-11-2009,Chicago,44,28,38.30,0.00,22.45,9,10,29.76
2008,10-12-2008,Chicago,85,63,72.61,0.00,55.43,13,10,29.65
2007,10-7-2007,Chicago,88,71,79.35,0.00,65.22,10,10,29.41
2006,10-22-2006,Chicago,50,37,42.00,0.00,32.27,18,10,29.41
2005,10-9-2005,Chicago,59,50,53.50,0.00,42.46,18,10,29.45
2004,10-10-2004,Chicago,61,47,54.70,0.00,42.65,16,10,29.63
2003,10-12-2003,Chicago,69,49,58.58,0.00,41.38,16,10,29.39
2002,10-13-2002,Chicago,50,40,45.04,0.00,25.87,16,10,29.77
2001,10-7-2001,Chicago,52,33,44.48,0.00,24.35,10,10,29.71
2000,10-22-2000,Chicago,68,53,59.83,0.00,51.39,9,10,29.72
1999,10-24-1999,Chicago,51,31,29.58,0.00,21.83,14,10,29.63
1998,10-11-1998,Chicago,68,48,58.17,0.00,49.78,10,10,29.58
1997,10-19-1997,Chicago,64,39,51.64,0.00,39.64,18,10,29.39
1996,10-20-1996,Chicago,59,37,47.95,0.00,30.27,12,20,29.35
2025,4-21-2025,Boston,55,44,48.54,0.00,25.42,20,10,30.34
2024,4-15-2024,Boston,72,47,58.04,0.04,42.68,23,10,29.96
2023,4-17-2023,Boston,52,46,48.77,0.00,48.52,14,8,29.79
2022,4-18-2022,Boston,49,39,45.24,0.00,31.32,20,10,30.37
2021,10-11-2021,Boston,60,45,48.30,0.00,42.60,20,10,29.79
2019,4-15-2019,Boston,69,46,55.82,0.61,49.26,26,10,29.56
2018,4-16-2018,Boston,52,35,43.18,0.15,42.32,31,10,30.37
2017,4-17-2017,Boston,74,52,65.87,0.00,43.09,22,10,30.12
2016,4-18-2016,Boston,66,44,50.96,0.00,34.21,20,10,30.21
2015,4-20-2015,Boston,52,41,44.74,0.00,42.40,22,10,30.23
2014,4-21-2014,Boston,68,37,51.38,0.00,32.21,15,10,30.31
2013,4-15-2013,Boston,49,39,44.83,0.00,29.78,18,10,30.38
2012,4-16-2012,Boston,84,62,71.09,0.00,55.43,18,10,29.98
2011,4-18-2011,Boston,61,44,52.58,0.00,27.67,25,10,30.00
2010,4-19-2010,Boston,60,40,50.39,0.00,31.78,18,10,29.91
2009,4-20-2009,Boston,48,39,43.56,0.00,37.88,20,10,30.29
2008,4-21-2008,Boston,52,45,47.85,0.00,42.74,13,10,30.38
2007,4-16-2007,Boston,48,42,45.60,0.00,43.09,39,10,29.35
2006,4-17-2006,Boston,53,44,47.44,0.00,35.24,16,10,29.81
2005,4-18-2005,Boston,72,37,55.74,0.00,30.17,13,10,30.05
2004,4-19-2004,Boston,86,45,62.54,0.00,46.15,29,10,30.27
2003,4-21-2003,Boston,53,41,47.30,0.00,37.74,25,10,30.15
2002,4-15-2002,Boston,57,45,49.64,0.00,48.22,15,10,30.04
2001,4-16-2001,Boston,47,39,43.83,0.00,33.78,15,10,29.75
2000,4-17-2000,Boston,48,40,43.00,0.00,30.43,21,10,30.27
1999,4-19-1999,Boston,57,47,51.09,0.00,38.35,15,10,29.94
1998,4-20-1998,Boston,54,45,48.62,0.00,43.38,20,10,29.99
1997,4-21-1997,Boston,51,42,47.04,0.00,40.96,13,10,29.77
1996,4-15-1996,Boston,45,36,40.46,0.00,24.17,20,10,30.21
2025,9-21-2025,Berlin,81,54,66.20,0.05,57.13,8,NA,29.87
2024,9-29-2024,Berlin,59,41,48.74,0.00,40.83,7,NA,30.32
2023,9-24-2023,Berlin,68,47,56.30,0.00,50.34,6,NA,30.27
2022,9-25-2022,Berlin,66,51,55.94,0.02,49.30,4,NA,29.88
2021,9-26-2021,Berlin,77,55,65.66,0.00,57.90,5,NA,30.05
2019,9-29-2019,Berlin,62,52,57.92,0.22,53.51,11,NA,29.66
2018,9-16-2018,Berlin,72,48,60.44,0.00,49.27,4,NA,30.23
2017,9-24-2017,Berlin,62,54,57.92,0.20,57.35,5,NA,30.19
2016,9-25-2016,Berlin,73,47,60.44,0.00,47.10,6,NA,30.19
2015,9-27-2015,Berlin,62,41,51.44,0.00,44.06,4,NA,30.45
2014,9-28-2014,Berlin,70,41,56.66,0.00,49.80,3,NA,30.32
2013,9-29-2013,Berlin,59,40,48.56,0.00,41.59,7,NA,30.09
2012,9-30-2012,Berlin,62,41,52.88,0.00,43.72,8,NA,30.13
2011,9-25-2011,Berlin,72,45,59.36,0.00,48.64,3,NA,30.13
2010,9-26-2010,Berlin,52,49,52.16,0.85,51.39,7,NA,29.65
2009,9-20-2009,Berlin,78,48,63.32,0.00,50.54,3,NA,30.06
2008,9-28-2008,Berlin,64,42,54.14,0.00,46.34,6,6.21,30.22
2007,9-30-2007,Berlin,61,52,56.30,0.00,49.84,9,6.39,30.13
2006,9-24-2006,Berlin,82,54,68.90,0.00,52.04,11,6.17,29.94
2005,9-25-2005,Berlin,74,50,62.78,0.00,53.55,4,6.35,29.98
2004,9-26-2004,Berlin,57,48,51.98,0.04,48.81,7,6.06,30.03
2003,9-28-2003,Berlin,66,40,53.24,0.02,40.42,4,6.21,29.97
2002,9-29-2002,Berlin,62,50,55.22,0.00,48.60,4,NA,30.38
2001,9-30-2001,Berlin,60,51,56.48,0.12,52.93,7,NA,29.94
2000,9-10-2000,Berlin,70,58,64.22,0.00,56.32,4,NA,30.20
1999,9-26-1999,Berlin,63,55,61.16,0.02,56.49,5,NA,29.71
1998,9-20-1998,Berlin,68,51,60.26,0.00,46.53,3,NA,30.54
1997,9-28-1997,Berlin,66,40,53.06,0.00,40.52,3,NA,30.08
1996,9-29-1996,Berlin,57,44,52.34,0.23,48.61,10,NA,30.09
2025,11-2-2025,NYC,59,43,52.13,0.00,36.26,7,10,30.21
2024,11-3-2024,NYC,53,41,46.91,0.00,22.86,12,10,30.40
2023,11-5-2023,NYC,64,49,56.56,0.00,38.59,6,10,30.03
2022,11-6-2022,NYC,74,67,70.35,0.00,61.70,8,10,30.14
2021,11-7-2021,NYC,55,44,50.12,0.00,31.96,7,10,30.25
2019,11-3-2019,NYC,52,43,47.36,0.00,28.76,8,10,30.13
2018,11-4-2018,NYC,56,47,50.44,0.00,32.44,14,10,30.52
2017,11-5-2017,NYC,61,51,56.88,0.01,53.57,9,10,30.19
2016,11-6-2016,NYC,57,45,52.60,0.00,34.40,14,10,30.26
2015,11-1-2015,NYC,64,54,59.16,0.00,46.52,8,10,29.90
2014,11-2-2014,NYC,47,41,43.73,0.29,25.27,16,10,29.90
2013,11-3-2013,NYC,55,37,46.63,0.00,28.79,13,10,30.25
2011,11-6-2011,NYC,54,38,46.58,0.00,30.58,8,10,30.37
2010,11-7-2010,NYC,50,36,43.17,0.00,25.58,14,10,30.13
2009,11-1-2009,NYC,58,50,53.54,0.00,39.46,9,10,30.03
2008,11-2-2008,NYC,51,38,44.29,0.00,25.54,15,10,30.39
2007,11-4-2007,NYC,56,46,50.54,0.00,30.92,10,10,29.75
2006,11-5-2006,NYC,49,38,43.48,0.00,24.70,6,10,30.39
2005,11-6-2005,NYC,68,53,58.41,0.00,53.76,9,10,29.90
2004,11-7-2004,NYC,67,50,58.35,0.00,43.43,15,10,29.72
2003,11-2-2003,NYC,67,57,62.26,0.00,54.30,6,10,30.08
2002,11-3-2002,NYC,46,37,41.30,0.00,21.13,13,10,29.98
2001,11-4-2001,NYC,61,48,54.43,0.00,39.87,12,10,30.01
2000,11-5-2000,NYC,51,45,48.09,0.00,31.13,16,10,29.76
1999,11-7-1999,NYC,51,40,46.30,0.00,25.22,21,10,30.20
1998,11-1-1998,NYC,57,47,51.64,0.00,37.23,20,10,29.98
1997,11-2-1997,NYC,63,51,58.84,0.00,56.11,20,10,29.70
1996,11-3-1996,NYC,49,37,42.43,0.00,22.17,18,10,30.26